"No.","Time","Source","Destination","Protocol","Length","Info"
"1152","13.693974","34.198.126.60","10.12.14.191","TLSv1.2","98","Application Data"
"1153","13.695850","34.198.126.60","10.12.14.191","TLSv1.2","691","Application Data"
"1154","13.695895","10.12.14.191","34.198.126.60","TCP","54","53606  >  443 [ACK] Seq=1061 Ack=4084 Win=130304 Len=0"
"1155","13.696091","34.198.126.60","10.12.14.191","TLSv1.2","88","Application Data"
"1156","13.737877","10.12.14.191","34.198.126.60","TCP","54","53606  >  443 [ACK] Seq=1061 Ack=4118 Win=130304 Len=0"
"1157","13.936810","151.101.66.217","10.12.14.191","TLSv1.2","326","Application Data"
"1158","13.944599","10.12.14.191","10.1.0.31","TCP","66","[TCP Retransmission] 53605  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"1159","13.977599","10.12.14.191","151.101.66.217","TCP","54","53607  >  443 [ACK] Seq=1001 Ack=489 Win=130816 Len=0"
"1160","14.433787","10.12.14.191","10.6.0.108","DNS","107","Standard query 0xc7e1 A brave-sync.s3.dualstack.us-west-2.amazonaws.com"
"1161","14.468132","10.12.14.191","10.6.0.122","DNS","107","Standard query 0xc7e1 A brave-sync.s3.dualstack.us-west-2.amazonaws.com"
"1162","14.506320","10.6.0.122","10.12.14.191","DNS","137","Standard query response 0xc7e1 A brave-sync.s3.dualstack.us-west-2.amazonaws.com CNAME s3.dualstack.us-west-2.amazonaws.com A 52.218.228.48"
"1163","14.508550","10.12.14.191","52.218.228.48","TCP","66","53608  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"1164","14.509571","10.12.14.191","52.218.228.48","TCP","66","53609  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"1165","14.511666","10.6.0.108","10.12.14.191","DNS","137","Standard query response 0xc7e1 A brave-sync.s3.dualstack.us-west-2.amazonaws.com CNAME s3.dualstack.us-west-2.amazonaws.com A 52.218.205.168"
"1166","14.682738","10.12.14.191","52.218.228.48","TCP","66","53610  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"1167","14.806931","52.218.228.48","10.12.14.191","TCP","66","443  >  53609 [SYN, ACK] Seq=0 Ack=1 Win=8190 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"1168","14.807204","10.12.14.191","52.218.228.48","TCP","54","53609  >  443 [ACK] Seq=1 Ack=1 Win=131328 Len=0"
"1169","14.808086","10.12.14.191","52.218.228.48","TLSv1.2","571","Client Hello"
"1170","14.810462","52.218.228.48","10.12.14.191","TCP","66","443  >  53608 [SYN, ACK] Seq=0 Ack=1 Win=8190 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"1171","14.810710","10.12.14.191","52.218.228.48","TCP","54","53608  >  443 [ACK] Seq=1 Ack=1 Win=131328 Len=0"
"1172","14.811611","10.12.14.191","52.218.228.48","TLSv1.2","571","Client Hello"
"1173","15.004579","52.218.228.48","10.12.14.191","TCP","66","443  >  53610 [SYN, ACK] Seq=0 Ack=1 Win=8190 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"1174","15.004881","10.12.14.191","52.218.228.48","TCP","54","53610  >  443 [ACK] Seq=1 Ack=1 Win=131328 Len=0"
"1175","15.006097","10.12.14.191","52.218.228.48","TLSv1.2","571","Client Hello"
"1176","15.106561","52.218.228.48","10.12.14.191","TCP","54","443  >  53609 [ACK] Seq=1 Ack=518 Win=30464 Len=0"
"1177","15.107249","52.218.228.48","10.12.14.191","TLSv1.2","150","Server Hello"
"1178","15.108065","52.218.228.48","10.12.14.191","TCP","1486","443  >  53609 [ACK] Seq=97 Ack=518 Win=30464 Len=1432 [TCP segment of a reassembled PDU]"
"1179","15.108066","52.218.228.48","10.12.14.191","TCP","1486","443  >  53609 [ACK] Seq=1529 Ack=518 Win=30464 Len=1432 [TCP segment of a reassembled PDU]"
"1180","15.108067","52.218.228.48","10.12.14.191","TLSv1.2","427","Certificate"
"1181","15.108100","10.12.14.191","52.218.228.48","TCP","54","53609  >  443 [ACK] Seq=518 Ack=3334 Win=131328 Len=0"
"1182","15.109348","52.218.228.48","10.12.14.191","TLSv1.2","392","Server Key Exchange"
"1183","15.109348","52.218.228.48","10.12.14.191","TLSv1.2","63","Server Hello Done"
"1184","15.109371","10.12.14.191","52.218.228.48","TCP","54","53609  >  443 [ACK] Seq=518 Ack=3681 Win=130816 Len=0"
"1185","15.109700","10.12.14.191","52.218.228.48","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"1186","15.112359","52.218.228.48","10.12.14.191","TCP","54","443  >  53608 [ACK] Seq=1 Ack=518 Win=30464 Len=0"
"1187","15.112977","52.218.228.48","10.12.14.191","TLSv1.2","150","Server Hello"
"1188","15.112978","52.218.228.48","10.12.14.191","TCP","1486","443  >  53608 [ACK] Seq=97 Ack=518 Win=30464 Len=1432 [TCP segment of a reassembled PDU]"
"1189","15.112979","52.218.228.48","10.12.14.191","TCP","1486","443  >  53608 [ACK] Seq=1529 Ack=518 Win=30464 Len=1432 [TCP segment of a reassembled PDU]"
"1190","15.113023","10.12.14.191","52.218.228.48","TCP","54","53608  >  443 [ACK] Seq=518 Ack=2961 Win=131328 Len=0"
"1191","15.114374","52.218.228.48","10.12.14.191","TLSv1.2","427","Certificate"
"1192","15.114406","10.12.14.191","52.218.228.48","TCP","54","53608  >  443 [ACK] Seq=518 Ack=3334 Win=130816 Len=0"
"1193","15.114733","52.218.228.48","10.12.14.191","TLSv1.2","392","Server Key Exchange"
"1194","15.115102","52.218.228.48","10.12.14.191","TLSv1.2","63","Server Hello Done"
"1195","15.115124","10.12.14.191","52.218.228.48","TCP","54","53608  >  443 [ACK] Seq=518 Ack=3681 Win=130560 Len=0"
"1196","15.115525","10.12.14.191","52.218.228.48","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"1197","15.313049","52.218.228.48","10.12.14.191","TCP","54","443  >  53610 [ACK] Seq=1 Ack=518 Win=30464 Len=0"
"1198","15.313363","52.218.228.48","10.12.14.191","TLSv1.2","150","Server Hello"
"1199","15.313914","52.218.228.48","10.12.14.191","TCP","1486","443  >  53610 [ACK] Seq=97 Ack=518 Win=30464 Len=1432 [TCP segment of a reassembled PDU]"
